program,yes,no,status
Campus Radio (KCSB),2770,901,reaffirmed
AS/KCSB Professional Staff,2742,855,reaffirmed
UC Student Association,2746,768,reaffirmed
Student Commission on Racial Equity,3387,551,reaffirmed
Bike Shop,3186,672,reaffirmed
Community Affairs Board,2856,692,reaffirmed
Recycling Program,3953,293,reaffirmed
Bicycle Infrastructure,3350,510,reaffirmed
Isla Vista Community Improvement,3249,558,reaffirmed
Childcare Grant,3359,517,reaffirmed
Environmental Affairs Board,3612,434,reaffirmed
Isla Vista Tenants Union,3264,526,reaffirmed
AS Legal Resource Center,3397,429,reaffirmed
Commission for Marginalized Genders,3298,643,reaffirmed
Take BackThe Night,2468,891,reaffirmed
University Center,3561,499,reaffirmed
Child Care Center,3128,636,reaffirmed
Student Health,3737,429,reaffirmed
Disabled Student Services,3887,278,reaffirmed
Intramural Sports,3071,740,reaffirmed
MultiCultural Center,3445,561,reaffirmed
Student Engagement And leadership,2985,637,reaffirmed
